                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9608,                0.77465,                 1.3456,                0.89135,                0.85571,                 0.9185,                0.65974,                 1.0276,                0.66753,                 1.5669,             0.00071102,             0.00071102,             0.00071102
                     36,                0.94009,                0.75226,                 1.3271,                0.88747,                 0.8905,                0.93279,                0.67787,                 1.0173,                0.61217,                 1.5629,             0.00070502,             0.00070502,             0.00070502
                     37,                0.95843,                0.74685,                 1.3385,                 0.9094,                0.87232,                0.92085,                0.65277,                 1.0506,                0.64104,                 1.5931,             0.00069902,             0.00069902,             0.00069902
                     38,                0.93825,                0.74855,                 1.3288,                 0.8888,                0.87223,                0.91744,                0.65796,                 1.0192,                0.62522,                 1.5585,             0.00069302,             0.00069302,             0.00069302
                     39,                0.93525,                0.73632,                 1.3236,                0.87141,                0.88159,                0.92186,                0.66683,                 1.0433,                0.64948,                 1.5863,             0.00068702,             0.00068702,             0.00068702
                     40,                0.93405,                0.75482,                 1.3283,                0.89855,                 0.8655,                0.91664,                0.66182,                 1.0337,                0.65684,                 1.5855,             0.00068102,             0.00068102,             0.00068102
                     41,                0.94947,                0.74394,                 1.3275,                  0.881,                0.87476,                0.92778,                0.66772,                 1.0339,                0.64671,                 1.5777,             0.00067502,             0.00067502,             0.00067502
                     42,                 0.9357,                0.71779,                 1.3184,                0.88274,                 0.8763,                0.92941,                0.66782,                 1.0582,                0.63135,                 1.5855,             0.00066902,             0.00066902,             0.00066902
                     43,                0.93701,                0.71707,                 1.3256,                0.89047,                0.87955,                0.92678,                0.66095,                 1.0232,                0.62342,                 1.5634,             0.00066302,             0.00066302,             0.00066302
                     44,                0.90884,                0.71275,                 1.3103,                0.88651,                0.86406,                0.93153,                0.67804,                 1.0022,                0.60718,                  1.545,             0.00065703,             0.00065703,             0.00065703
                     45,                0.90309,                0.72286,                 1.3091,                0.88781,                 0.8893,                0.92621,                0.67692,                 1.0216,                0.62237,                   1.57,             0.00065103,             0.00065103,             0.00065103
                     46,                0.91141,                 0.6878,                 1.3136,                0.89921,                0.89508,                0.93827,                0.67797,                 1.0263,                0.59083,                 1.5566,             0.00064503,             0.00064503,             0.00064503
                     47,                0.91221,                0.68772,                 1.3121,                0.91035,                0.84287,                0.93056,                0.67447,                 1.0226,                0.65517,                 1.5635,             0.00063903,             0.00063903,             0.00063903
                     48,                0.90677,                0.69072,                 1.3035,                 0.9057,                0.86407,                 0.9345,                0.67389,                 1.0178,                0.59883,                 1.5513,             0.00063303,             0.00063303,             0.00063303
                     49,                0.90066,                0.67993,                 1.2982,                0.87686,                0.90334,                0.93634,                0.68035,                 1.0274,                0.60572,                  1.561,             0.00062703,             0.00062703,             0.00062703
                     50,                0.87357,                0.67908,                 1.2815,                0.90686,                0.88257,                0.93468,                0.68377,                 1.0158,                0.58732,                 1.5594,             0.00062103,             0.00062103,             0.00062103
                     51,                0.89796,                 0.6724,                 1.3042,                0.87945,                0.86982,                0.91783,                0.66585,                 1.0185,                0.62644,                 1.5593,             0.00061503,             0.00061503,             0.00061503
                     52,                0.89218,                0.66242,                 1.2994,                0.91611,                 0.8719,                0.93177,                0.66774,                 1.0354,                 0.5969,                 1.5756,             0.00060903,             0.00060903,             0.00060903
                     53,                0.88572,                0.66465,                 1.2981,                0.89538,                 0.8746,                0.93999,                0.67855,                 1.0353,                0.58449,                 1.5837,             0.00060303,             0.00060303,             0.00060303
                     54,                 0.8811,                0.66405,                 1.2946,                0.87503,                0.89443,                0.92374,                0.67463,                 1.0153,                0.60165,                   1.55,             0.00059703,             0.00059703,             0.00059703
                     55,                0.87635,                0.66224,                 1.2841,                0.91204,                0.88349,                0.93746,                0.67446,                  1.035,                0.59461,                  1.574,             0.00059103,             0.00059103,             0.00059103
                     56,                0.87261,                0.64386,                 1.2811,                0.88369,                0.86219,                0.91978,                0.66375,                 1.0255,                0.67258,                 1.5776,             0.00058503,             0.00058503,             0.00058503
                     57,                0.87426,                0.63957,                 1.2853,                0.91906,                0.87891,                0.93394,                0.68403,                0.99407,                0.58431,                 1.5346,             0.00057903,             0.00057903,             0.00057903
                     58,                0.85667,                0.64609,                 1.2764,                0.90655,                0.89021,                0.93143,                0.67333,                  1.025,                0.59079,                 1.5482,             0.00057303,             0.00057303,             0.00057303
                     59,                0.87104,                0.63595,                 1.2803,                0.86929,                0.90126,                0.93115,                 0.6714,                 1.0421,                0.61743,                 1.5819,             0.00056703,             0.00056703,             0.00056703
                     60,                0.85868,                0.61416,                  1.271,                0.91299,                0.87474,                0.93108,                0.68174,                 1.0198,                0.59151,                 1.5542,             0.00056103,             0.00056103,             0.00056103
                     61,                0.86449,                0.62425,                 1.2765,                0.92892,                0.87531,                0.94113,                0.67899,                 1.0328,                0.57619,                 1.5659,             0.00055504,             0.00055504,             0.00055504
                     62,                0.86266,                0.63612,                 1.2806,                0.91637,                0.87756,                0.93956,                0.68448,                 1.0164,                 0.5904,                 1.5615,             0.00054904,             0.00054904,             0.00054904
                     63,                0.86017,                0.62484,                 1.2748,                0.88931,                0.88852,                0.92861,                0.67288,                 1.0134,                0.60626,                 1.5563,             0.00054304,             0.00054304,             0.00054304
                     64,                0.85416,                0.62016,                 1.2741,                0.89143,                0.88133,                0.93449,                0.67815,                 1.0393,                0.58939,                 1.5838,             0.00053704,             0.00053704,             0.00053704
                     65,                0.84578,                0.62894,                 1.2731,                0.92113,                0.88097,                0.93429,                0.68093,                 1.0213,                0.58165,                 1.5665,             0.00053104,             0.00053104,             0.00053104
