                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43658,                0.35978,                0.86686,                0.95167,                0.95257,                0.97898,                0.92472,                0.38174,                0.28749,                0.87158,             0.00072604,             0.00072604,             0.00072604
                     37,                0.43696,                0.35791,                0.87302,                0.82212,                0.92708,                0.97091,                0.89194,                0.38922,                0.30455,                0.88374,             0.00071504,             0.00071504,             0.00071504
                     38,                0.43343,                0.36929,                0.86628,                0.94043,                0.96795,                0.98459,                0.90147,                0.38252,                0.28181,                0.87496,             0.00070404,             0.00070404,             0.00070404
                     39,                0.43572,                0.35694,                0.86878,                0.89701,                0.96037,                0.95227,                0.88448,                0.37148,                0.28161,                0.86566,             0.00069304,             0.00069304,             0.00069304
                     40,                 0.4386,                0.36337,                0.86662,                0.94834,                0.93945,                0.97725,                0.91632,                0.38939,                0.29478,                0.87975,             0.00068204,             0.00068204,             0.00068204
                     41,                0.42894,                0.34271,                0.86615,                0.95113,                0.96439,                0.98347,                0.92343,                0.37204,                0.27153,                0.87018,             0.00067104,             0.00067104,             0.00067104
                     42,                 0.4314,                0.34307,                0.86883,                0.94311,                0.96775,                0.98414,                0.90484,                0.37386,                0.27693,                0.86667,             0.00066005,             0.00066005,             0.00066005
                     43,                0.43264,                0.34162,                0.86319,                0.93932,                0.95956,                 0.9787,                0.90056,                0.38039,                0.28915,                0.87743,             0.00064905,             0.00064905,             0.00064905
                     44,                0.42915,                0.34086,                0.86644,                0.92696,                0.95852,                 0.9818,                 0.9227,                 0.3786,                0.28605,                0.87796,             0.00063805,             0.00063805,             0.00063805
                     45,                0.41987,                0.33407,                0.86317,                0.94875,                0.96352,                0.98801,                0.94521,                0.35491,                0.26413,                0.86015,             0.00062705,             0.00062705,             0.00062705
                     46,                0.42274,                 0.3301,                0.86322,                0.95506,                0.96432,                0.98681,                0.94041,                0.37639,                0.27136,                0.87331,             0.00061605,             0.00061605,             0.00061605
                     47,                0.41479,                0.32475,                0.85271,                0.94017,                0.96074,                0.98196,                0.93231,                 0.3659,                0.27383,                0.86953,             0.00060505,             0.00060505,             0.00060505
                     48,                0.41422,                0.33689,                 0.8585,                 0.9533,                0.97772,                0.98539,                0.92092,                0.35565,                0.26865,                0.86378,             0.00059405,             0.00059405,             0.00059405
                     49,                0.41119,                0.32487,                0.85717,                 0.9503,                 0.9626,                0.98277,                0.92474,                0.35669,                0.26635,                 0.8651,             0.00058305,             0.00058305,             0.00058305
                     50,                0.41529,                0.32779,                0.85892,                0.95461,                0.97678,                0.98755,                0.92621,                0.36256,                0.26822,                 0.8696,             0.00057205,             0.00057205,             0.00057205
                     51,                0.40776,                0.31979,                0.86098,                0.93197,                0.96912,                0.97838,                0.93451,                0.35836,                0.27003,                0.86667,             0.00056105,             0.00056105,             0.00056105
                     52,                0.39876,                0.30944,                0.85406,                0.94719,                0.96133,                0.98902,                 0.9428,                0.35854,                0.25624,                0.86268,             0.00055006,             0.00055006,             0.00055006
                     53,                0.40543,                 0.3138,                0.85963,                0.95645,                 0.9708,                0.98686,                0.92782,                0.35665,                0.25468,                0.86653,             0.00053906,             0.00053906,             0.00053906
                     54,                0.39948,                0.31097,                0.85924,                0.95014,                0.98374,                0.98598,                0.94565,                0.35761,                0.25276,                0.86496,             0.00052806,             0.00052806,             0.00052806
                     55,                0.39858,                0.31186,                0.85227,                0.94718,                0.97923,                0.98618,                 0.9425,                0.35246,                0.24307,                  0.859,             0.00051706,             0.00051706,             0.00051706
                     56,                0.39536,                0.30834,                0.85404,                0.95883,                0.97897,                0.98761,                 0.9352,                0.35272,                0.24065,                0.85166,             0.00050606,             0.00050606,             0.00050606
